Study.name,Binomial,original.n.ind,final.n.ind,total.n.pts,start.date,end.date,total.days,median.interval.mins,sd.interval.mins,ave.long,ave.lat,countries,iso
cheetah_botswana,Acinonyx jubatus,8,8,16272,9/29/07,7/16/11,1386,360,3279.2,23.5904878,-19.431755,Botswana,BWA
cheetah_namibia,Acinonyx jubatus,197,193,2371702,8/27/05,11/24/24,7029,15,2419.2,17.909141,-22.201566,Namibia,NAM
impala_botswana_delta,Aepyceros melampus,7,7,239347,7/23/16,11/14/16,114,5,8,23.6220765,-19.527484,Botswana,BWA
impala_kenya,Aepyceros melampus,21,21,342457,6/1/11,9/11/12,468,20,12.5,36.8714206,0.41419562,Kenya,KEN
moose_ab_sk_canada,Alces alces,23,23,85488,1/15/13,11/5/15,1024,59,476.3,-110.36738,55.4538326,Canada,CAN
moose_jackson_wyoming,Alces alces,30,30,680416,3/7/19,2/11/25,2168,30,305.5,-110.85234,43.5202031,United States of America,USA
moose_norway,Alces alces,156,156,774514,3/1/06,1/13/23,6162,120,2039,13.6595322,63.8163908,"Norway, NA, Finland, Sweden","-99, NA, FIN, SWE"
moose_wyoming,Alces alces,82,82,948734,2/23/11,8/31/14,1285,60,941.9,-110.27975,42.9813575,United States of America,USA
springbok_etosha,Antidorcas marsupialis,16,16,511256,6/30/19,10/14/22,1202,15,375.7,15.2813364,-19.246383,Namibia,NAM
pronghorn_wyoming,Antilocapra americana,361,353,1906967,3/23/18,8/21/24,2343,120,378.8,-106.28048,42.1531689,United States of America,USA
canis_aureus_india,Canis aureus,11,10,51820,6/26/16,10/15/19,1206,15,275.8,74.5979248,18.340504,India,IND
golden_jackal_serbia,Canis aureus,19,19,48002,4/5/19,3/5/25,2161,180,86.2,20.341275,44.7427681,"Serbia, Hungary","SRB, HUN"
jackal_balkans_potocnik,Canis aureus,8,8,12031,4/9/18,8/5/24,2310,235,1452.3,14.1285426,45.7480762,"Slovenia, Austria, Italy, Croatia","SVN, AUT, ITA, HRV"
canis_latrans_siuc,Canis latrans,39,39,78153,3/7/18,9/6/23,2009,90,171.6,-88.765641,39.0682177,United States of America,USA
coyote_south_carolina,Canis latrans,17,12,9149,10/2/16,8/22/17,324,240,446.8,-81.623244,33.3251108,United States of America,USA
coyotes_fort_bragg,Canis latrans,30,30,85750,2/3/11,10/10/12,615,180,942.5,-79.240011,35.1545881,United States of America,USA
canis_lupus_bnaff,Canis lupus,39,23,81411,12/18/09,12/2/24,5463,120,1411.6,-115.67491,51.3780174,"Canada, United States of America","CAN, USA"
grey_wolf_turkiye,Canis lupus,38,24,61329,5/31/13,7/28/24,4076,300,785.9,42.5294829,40.2871655,Turkey,TUR
wolf_ab_sk_canada,Canis lupus,55,54,388433,1/15/13,1/10/16,1090,5,735.6,-110.75872,55.4988805,Canada,CAN
wolf_austria,Canis lupus,7,7,24496,5/9/19,3/26/25,2148,120,1276.4,16.6425963,49.8785982,"Austria, Czechia, Poland","AUT, CZE, POL"
wolf_balkans_potocnik,Canis lupus,12,11,19156,4/14/10,1/18/25,5393,180,219.1,13.9181733,45.9533769,"Slovenia, Croatia, Italy, Austria","SVN, HRV, ITA, AUT"
wolf_borris,Canis lupus,1,1,1086,12/6/22,3/1/23,85,60,99.7,8.72189865,55.9012752,Denmark,DNK
wolf_croatia,Canis lupus,6,6,8479,7/29/09,1/27/24,5295,180,2199.6,16.6372132,43.5887288,"Croatia, NA","HRV, NA"
wolf_germany,Canis lupus,27,25,77092,3/6/09,4/30/25,5899,240,220.8,14.7145355,51.4964569,"Germany, Poland, Belarus, Lithuania","DEU, POL, BLR, LTU"
wolf_greece,Canis lupus,2,2,3492,11/15/11,8/2/24,4644,118,116.7,22.1758274,40.8126622,"Greece, North Macedonia","GRC, MKD"
wolf_northern_gye,Canis lupus,117,110,438831,1/20/01,3/4/24,8444,59,4061.1,-110.48183,44.8733993,United States of America,USA
wolf_serbia,Canis lupus,1,1,2333,11/10/20,10/14/21,338,180,118.6,19.9082629,43.2200561,Serbia,SRB
wolf_spain,Canis lupus,3,3,19860,3/9/17,5/25/22,1903,20,184.6,-6.6738431,43.4387509,Spain,ESP
dingo_myall_lakes,Canis lupus dingo,10,10,67735,4/26/21,6/25/24,1156,60,693,152.275193,-32.572397,"Australia, NA","AUS, NA"
capra_ibex_belledonne,Capra ibex,118,88,392523,5/15/17,8/20/23,2288,120,1508.7,6.09106401,45.2253199,France,-99
ibex_alpi_cozie_euromammals,Capra ibex,15,6,12052,7/4/18,6/30/20,727,180,823.6,7.09778635,45.0828209,Italy,ITA
ibex_belledonne_euromammals,Capra ibex,139,96,554940,5/15/17,8/18/24,2652,119,2749.7,6.07976543,45.2281926,France,-99
ibex_ecrins_np_euromammals,Capra ibex,85,54,106638,4/23/13,4/30/20,2564,360,2840.3,6.3000286,44.8836851,"France, Italy","-99, ITA"
ibex_euromammals_15,Capra ibex,8,15,81399,9/14/10,9/13/17,2556,60,1957.6,11.8737794,46.4007739,Italy,ITA
ibex_euromammals_16,Capra ibex,15,8,42361,8/13/18,9/29/20,778,60,65.1,10.4000794,46.7144953,"Italy, Switzerland","ITA, CHE"
ibex_gran_paradiso_np_euromammals,Capra ibex,26,15,26214,4/30/13,12/21/16,1331,120,386.2,7.23580937,45.5787533,Italy,ITA
ibex_hohe_tauern_np_euromammals,Capra ibex,13,11,29450,7/24/17,11/10/24,2666,240,1770.7,12.5349299,47.0700603,Austria,AUT
ibex_swiss_np_euromammals,Capra ibex,31,27,162830,5/16/07,6/19/19,4417,89,4631.4,10.0823453,46.5968342,"Switzerland, Italy","CHE, ITA"
ibex_vanoise_np_euromammals,Capra ibex,43,43,73575,5/23/03,3/30/20,6156,180,298.6,6.86609972,45.3977539,"Italy, France","ITA, -99"
nubian_ibex_israel,Capra nubiana,37,35,91811,9/18/16,8/16/20,1428,180,488.7,35.4008356,31.5416069,"Israel, Palestine","ISR, PSE"
iberian_ibex_france,Capra pyrenaica,9,8,29603,5/17/23,3/14/25,667,120,63.1,0.16154668,42.8100347,"France, Spain","-99, ESP"
roe_deer_aarhus,Capreolus capreolus,29,27,130016,3/5/06,12/8/21,5757,60,1216,10.2764182,56.2850538,Denmark,DNK
roe_deer_bauges_france,Capreolus capreolus,35,32,103958,9/21/04,8/22/23,6909,41,5129.4,6.20058172,45.6392376,France,-99
roe_deer_euromammals_1_1,Capreolus capreolus,54,25,48641,1/26/05,3/15/08,1144,240,257.9,11.0418485,46.0186308,Italy,ITA
roe_deer_euromammals_1_24,Capreolus capreolus,48,27,67510,12/17/12,8/16/15,972,180,327.5,10.7619417,46.0764362,Italy,ITA
roe_deer_euromammals_1_34,Capreolus capreolus,66,30,282255,12/3/16,3/22/21,1570,60,1472.1,11.177589,46.1302581,Italy,ITA
roe_deer_euromammals_12_16,Capreolus capreolus,36,23,82290,4/2/08,3/14/14,2172,15,726.8,23.4664106,52.6806614,Poland,POL
roe_deer_euromammals_13_15,Capreolus capreolus,72,33,924278,2/22/10,10/27/14,1708,15,224.3,7.97740086,48.6327622,Germany,DEU
roe_deer_euromammals_13_31,Capreolus capreolus,24,12,241986,12/7/11,10/27/14,1055,15,54.3,8.72936216,47.8830927,Germany,DEU
roe_deer_euromammals_19_25,Capreolus capreolus,141,65,1386078,11/29/11,3/27/15,1214,30,304.5,7.54429336,46.5786775,Switzerland,CHE
roe_deer_euromammals_21_17,Capreolus capreolus,51,26,59662,10/20/07,11/10/12,1848,194,326.7,15.0844976,47.4473193,Austria,AUT
roe_deer_euromammals_24_27,Capreolus capreolus,88,51,285683,12/18/02,2/20/20,6273,120,5414.4,4.92313569,48.7026699,France,-99
roe_deer_euromammals_28_40,Capreolus capreolus,9,5,11227,10/24/07,9/28/14,2531,121,478.4,6.20448634,46.2470572,"Switzerland, France","CHE, -99"
roe_deer_euromammals_3_19,Capreolus capreolus,160,67,217600,3/8/10,1/15/22,4331,255,7761.4,15.4486159,59.6821349,Sweden,SWE
roe_deer_euromammals_3_20,Capreolus capreolus,5,5,9246,3/18/12,4/7/13,385,30,190.9,18.1943361,59.3976566,"NA, Sweden","NA, SWE"
roe_deer_euromammals_3_3,Capreolus capreolus,60,30,100211,1/23/07,10/24/12,2101,239,1042.2,12.4301426,58.151564,Sweden,SWE
roe_deer_euromammals_4_4,Capreolus capreolus,53,14,64952,1/16/03,3/8/09,2243,19,4933.6,-0.4254618,46.1201726,France,-99
roe_deer_euromammals_43_42,Capreolus capreolus,13,7,79943,1/7/21,12/27/22,719,16,71.9,10.3264691,49.3174586,Germany,DEU
roe_deer_euromammals_5_5,Capreolus capreolus,25,25,56657,2/18/08,2/12/11,1090,180,260.4,8.73565395,60.6860877,Norway,-99
roe_deer_euromammals_53_41,Capreolus capreolus,30,11,70778,2/16/21,8/8/23,903,15,186.1,14.1251894,46.2560963,Slovenia,SVN
roe_deer_euromammals_7_7,Capreolus capreolus,15,8,16127,2/14/08,4/3/12,1510,30,262,12.4864588,52.2276357,Germany,DEU
roe_deer_euromammals_8_8,Capreolus capreolus,645,335,1136013,12/18/02,1/5/21,6593,60,8004.2,0.88146325,43.288458,France,-99
roe_deer_euromammals_czechia,Capreolus capreolus,10,10,2054659,1/4/18,9/26/20,996,0,79.6,14.5454867,50.7430526,Czechia,CZE
roe_deer_greece,Capreolus capreolus,1,1,693,6/5/21,8/2/21,58,120,4.6,21.4242441,40.5519675,Greece,GRC
caracal_cape_town,Caracal caracal,27,26,57160,11/24/14,2/28/17,827,20,1465.9,18.4123612,-34.110334,"South Africa, NA","ZAF, NA"
cervus_canadensis_bnaff,Cervus canadensis,6,6,29402,2/6/08,12/2/24,6144,120,58.1,-115.59514,51.2017537,Canada,CAN
cervus_canadensis_wyoming,Cervus canadensis,180,180,2131158,3/2/16,12/9/24,3204,90,236.9,-110.63441,43.6555129,United States of America,USA
elk_cody_wyoming,Cervus canadensis,85,85,781360,2/11/19,2/14/22,1099,120,759.8,-109.50581,44.2836985,United States of America,USA
elk_montana,Cervus canadensis,171,169,853385,1/14/07,3/15/13,2252,120,361.3,-114.30139,49.5245309,"Canada, United States of America","CAN, USA"
elk_northern_gye,Cervus canadensis,129,109,1420981,2/7/01,2/3/21,7301,59,508.1,-110.63926,44.9855374,United States of America,USA
elk_yoho,Cervus canadensis,14,14,204334,12/18/18,6/20/21,915,60,83.7,-116.48652,51.4126681,Canada,CAN
red_deer_austria,Cervus elaphus,11,11,20124,6/25/19,2/9/24,1690,510,149.3,15.3297977,48.6510103,Austria,AUT
red_deer_euromammals_1_46,Cervus elaphus,24,15,107959,1/11/21,3/27/23,805,60,53.5,11.0391915,46.4630945,Italy,ITA
red_deer_euromammals_13_38,Cervus elaphus,41,41,575185,2/16/07,4/9/20,4801,60,470.4,8.39133622,48.5117566,Germany,DEU
red_deer_euromammals_14_1,Cervus elaphus,81,81,389217,1/21/05,3/18/11,2247,60,168.1,6.19210648,61.396287,"Norway, NA","-99, NA"
red_deer_euromammals_14_2,Cervus elaphus,27,27,270289,2/22/09,6/30/19,3780,60,660.6,8.63422985,60.5588516,Norway,-99
red_deer_euromammals_14_42,Cervus elaphus,3,3,4680,1/1/19,6/30/19,180,120,134.9,7.00353436,62.1367479,Norway,-99
red_deer_euromammals_14_43,Cervus elaphus,24,24,73726,1/1/19,6/15/20,531,60,1698.3,7.56826002,61.0385394,"Norway, NA","-99, NA"
red_deer_euromammals_14_44,Cervus elaphus,10,10,25527,2/25/20,6/15/20,111,60,5.5,6.18521588,62.0288015,"Norway, NA","-99, NA"
red_deer_euromammals_14_45,Cervus elaphus,5,5,16625,3/11/19,6/15/20,462,60,3763.3,8.5926507,62.6985998,Norway,-99
red_deer_euromammals_21_37,Cervus elaphus,21,21,97790,2/21/09,9/29/11,950,180,262.4,14.0336428,47.0231747,Austria,AUT
red_deer_euromammals_24_10,Cervus elaphus,74,73,1002472,9/1/00,4/10/18,6430,15,9054.7,7.33153628,48.8182503,France,-99
red_deer_euromammals_28_15,Cervus elaphus,51,18,73042,3/31/09,2/2/15,2134,119,604.8,6.10156723,46.3153701,"Switzerland, France","CHE, -99"
red_deer_euromammals_28_16,Cervus elaphus,2,1,1912,3/20/14,1/31/15,317,120,309.9,7.39501115,47.3894647,"Switzerland, France","CHE, -99"
red_deer_euromammals_3_11,Cervus elaphus,56,23,141850,2/7/06,8/17/12,2383,60,565.1,16.4875191,58.774639,Sweden,SWE
red_deer_euromammals_3_12,Cervus elaphus,37,16,113983,2/11/07,7/28/14,2724,16,456.5,13.8357226,55.6383519,Sweden,SWE
red_deer_euromammals_3_13,Cervus elaphus,10,4,31700,2/17/08,3/30/10,772,15,1340.2,12.4841456,58.331649,Sweden,SWE
red_deer_euromammals_30_3,Cervus elaphus,70,31,125071,4/28/05,4/30/13,2924,60,1411,10.5264297,46.4400662,"Italy, Switzerland","ITA, CHE"
red_deer_euromammals_32_14,Cervus elaphus,23,23,86343,3/27/08,1/5/14,2110,180,846.7,9.94421438,53.981215,Germany,DEU
red_deer_euromammals_33_17,Cervus elaphus,83,38,227308,10/23/01,10/11/19,6562,60,1110.9,5.40129417,50.0875251,Belgium,BEL
red_deer_euromammals_33_18,Cervus elaphus,27,11,136778,1/2/11,10/6/22,4295,60,379.5,6.26306543,50.4989777,"Belgium, Germany","BEL, DEU"
