system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.1946924421441012,0.9538320032862831,46262,1.093687551044305,0.9109054376998156,0.018297615896897,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.053073512197276,0.8085301567445636,46262,0.9551041191740066,0.7478748506365286,0.018297615896897,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.056636278759983,0.8364178905951046,46262,0.9932992291933844,0.8251553165953899,0.018297615896897,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.1538522147958108,0.9312179325059484,46262,1.0623601837114915,0.89769644182571,0.018297615896897,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.00012418621531152716,0.00010289386197074696,46262,0.00013560260294855905,0.00010599366803636608,0.018297615896897,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,7.308884331531363e-05,5.123865033329507e-05,46262,7.879313261344533e-05,5.413332462512573e-05,0.018297615896897,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.2210289897922022,0.8696558404523406,46262,1.1816668431995772,0.8654445499249628,0.018297615896897,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.0853422100439756,0.7605725985596831,46262,1.0258187217431218,0.7403104702932418,0.018297615896897,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.119250291443936,0.796760417109868,46262,1.075202878800979,0.7786752252557461,0.018297615896897,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.1920947924177212,0.8559119876179679,46262,1.1482875801675314,0.8442315276765014,0.018297615896897,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
